"_id"	"crawl_time"	"weibo_url"	"user_id"	"created_at"	"tool"	"like_num"	"repost_num"	"comment_num"	"image_url"	"content"
"JrUVUxhj7"	"1619593983"	"https://weibo.com/1699432410/JrUVUxhj7"	"1699432410"	"2020-11-01 19:39:10"	"微博 weibo.com"	"26"	"9"	"4"	"[""http://wx1.sinaimg.cn/wap180/001R0E0aly1gk9wnjc6unj60fm0fmx6p02.jpg""]"	"【#香港新增7例新冠肺炎确诊病例# 其中1例源头不明】香港特区政府卫生署卫生防护中心1日公布，截至当日零时零分，香港新增7例新冠肺炎确诊病例，其中本地感染病例1例、输入性病例6例。香港累计报告新冠肺炎确诊病例5330例。 　　据卫生防护中心传染病处主任张竹君介绍，当日新增的1宗本地确诊病例找不到感染源头，6宗输入性病例分别从印尼、菲律宾、土耳其、英国及迪拜经土耳其抵港。当日还新增少于10宗初步阳性个案。 　　香港医院管理局介绍，截至当日上午9时，过去24小时共有7名确诊病人出院，至今共有5096名确诊或疑似病人康复出院。现在共有93名确诊病人分别于19间公立医院留医，其中9人情况危殆，5人情况严重，其余79人情况稳定。"
"JrSO2tCIU"	"1619593983"	"https://weibo.com/1699432410/JrSO2tCIU"	"1699432410"	"2020-11-01 14:14:18"	"微博 weibo.com"	"342"	"122"	"169"	"[""http://wx1.sinaimg.cn/wap180/001R0E0aly1gk9n7zgjx9j61900u0qv602.jpg""]"	"【#美国单日新增新冠病例近10万再创新高#】美国疾病控制和预防中心网站10月31日的数据显示，全美10月30日报告新增新冠确诊病例99750例，这不仅是美国疫情暴发以来单日最高纪录，也刷新了全球范围内的一国单日新增病例纪录。 　　此前，全球范围内的一国单日新增纪录是印度9月17日报告的97894例。"
"JrQK34xZL"	"1619593983"	"https://weibo.com/1699432410/JrQK34xZL"	"1699432410"	"2020-11-01 08:58:58"	"微博 weibo.com"	"158"	"42"	"39"	"[""http://wx4.sinaimg.cn/wap180/001R0E0aly1gk9e4svdr2j615k0u0dzh02.jpg""]"	"【#奥地利将再次实施全国封锁#】奥地利总理库尔茨10月31日宣布，奥地利将从11月3日起再次实施全国“封锁”措施，以遏制新冠疫情蔓延。 　　库尔茨在当天下午举行的新闻发布会上宣布，第二次“封锁”将从11月3日零时开始，持续至11月底。在此期间，每天20时至次日6时实行宵禁，居民非必要不得离开住所；关闭影院、剧院等文化休闲娱乐设施；禁止举行除葬礼外的公共活动和聚会；关闭旅馆，餐饮业只允许提供外卖服务；专业体育赛事可在无观众情况下进行，体育场所关闭，只允许在户外进行非接触的体育活动；进一步收紧养护机构探视规定。 　　库尔茨表示，与第一次“封锁”不同的是，此次“封锁”期间，幼儿园、小学和初中将保持开放，但高中和大专院校转为远程教学；商店和理发店等可在严格遵守防疫规定的前提下继续开放。 　　库尔茨当晚向全国发表电视讲话，呼吁民众继续团结一致，严格遵守防疫规定，承担个人责任，共同应对疫情带来的巨大挑战。 　　为防控新冠疫情，奥地利于3月16日首次实施全国“封锁”措施，自4月14日起分阶段逐步“解封”。 　　据奥地利卫生部网站消息，截至10月31日，奥地利过去24小时新增新冠确诊病例5349例，累计确诊104925例；累计死亡病例1109例；现有确诊病例36590例。"
"JrQrliiqy"	"1619593983"	"https://weibo.com/1699432410/JrQrliiqy"	"1699432410"	"2020-11-01 08:12:53"	"微博 weibo.com"	"13"	"12"	"6"	"[""http://wx3.sinaimg.cn/wap180/002M0gmrgy1gk9cq17vkqj60ci0cigms02.jpg""]"	"#喀什疫情防控#【10月31日新疆（含兵团）最新疫情通报】#新疆新增3例确诊# 新疆维吾尔自治区卫生健康委最新通报，10月31日0时至24时，新疆维吾尔自治区（含新疆生产建设兵团）新增新冠肺炎确诊病例3例（均为无症状感染者转确诊）；新增无症状感染者61例，其中疏附县站敏乡和周边乡镇46例，与疏附县相邻的克孜勒苏柯尔克孜自治州阿克陶县喀热开其克乡和皮拉勒乡15例，均为接受隔离医学观察人员。  　　截至10月31日24时，新疆（含兵团）现有确诊病例54例（重症6例）均为喀什疏附县病例；无症状感染者219例，均来自喀什疏附县和克州阿克陶县。转发理由:#严防疫情反弹# 【10月31日新疆（含兵团）最新疫情通报】#新疆新增新冠肺炎确诊病例3例#"
"JrQfUmURL"	"1619593983"	"https://weibo.com/1699432410/JrQfUmURL"	"1699432410"	"2020-11-01 07:44:43"	"微博 weibo.com"	"24"	"19"	"5"	"[""http://wx3.sinaimg.cn/wap180/001R0E0aly1gk9byje8bzj60fm0fmx6p02.jpg""]"	"【世卫组织：#全球累计新冠确诊病例达45428731例#】世界卫生组织10月31日公布的最新数据显示，全球累计新冠确诊病例达45428731例。 　　世卫组织网站最新数据显示，截至欧洲中部时间31日14时06分（北京时间21时06分），全球确诊病例较前一日增加535928例，达到45428731例；死亡病例增加7246例，达到1185721例。"
"Js59XktzD"	"1619593991"	"https://weibo.com/1699432410/Js59XktzD"	"1699432410"	"2020-11-02 21:41:15"	"微博 weibo.com"	"64"	"61"	"8"	"[""http://wx4.sinaimg.cn/wap180/001R0E0aly1gkb5ssqca7j60fm0fmx6p02.jpg""]"	"【流调结果显示：#新疆阿克陶县疫情与疏附县疫情相关联#】11月2日，在新疆维吾尔自治区人民政府新闻办公室召开的疫情防控工作新闻发布会上，克孜勒苏柯尔克孜自治州政府副秘书长黄健表示，目前已基本掌握阿克陶县15名新冠肺炎无症状感染者活动轨迹，对排查出的所有密切接触者、密切接触者的密切接触者及一般接触者等风险人群均已落实管控措施。流调初步结果显示，阿克陶县15名无症状感染者均与喀什地区疏附县疫情相关联，流行病学呈现高度一致。（记者李志浩、潘莹）"
"Js4MeEw5M"	"1619593991"	"https://weibo.com/1699432410/Js4MeEw5M"	"1699432410"	"2020-11-02 20:42:49"	"微博 weibo.com"	"39"	"16"	"13"	"[""http://wx1.sinaimg.cn/wap180/001R0E0aly1gkb43tjo73j61900u0hdt02.jpg""]"	"【世卫组织总干事谭德塞因接触新冠感染者居家隔离】世界卫生组织总干事谭德塞2日在社交媒体上表示，他因接触新冠病毒感染者正居家隔离办公，目前他本人无任何患病症状。 　　谭德塞在推特上写道：“我已被确定为某个新冠检测呈阳性人员的接触者。目前我感觉良好，没有（任何患病）症状。未来几天我将按照世卫组织建议自我隔离，在家办公。” 　　谭德塞还说，所有人遵循健康指导至关重要。“这是我们打破新冠病毒传播链、抑制病毒（传播）和保护卫生系统的方法”。 　　世卫组织2日在推特上强调，谭德塞本人的新冠检测结果并不是阳性。 　　世卫组织全球总部所在地瑞士日内瓦州近期新冠疫情形势严峻，已于11月1日宣布将进入半封锁状态。在此期间，酒吧、餐馆和出售非必需品的商店关闭，公共场所禁止5人以上的集会，但学校继续开放。"
"Js2rryiUJ"	"1619593991"	"https://weibo.com/1699432410/Js2rryiUJ"	"1699432410"	"2020-11-02 14:46:06"	"微博 weibo.com"	"46"	"28"	"17"	"[""http://wx2.sinaimg.cn/wap180/001R0E0aly1gkatsu3jxfj60xc0m7kgs02.jpg""]"	"【英媒：#英国威廉王子曾感染新冠但未公开#】英国媒体11月1日披露，威廉王子4月曾感染新冠病毒，但消息没有对外公开。 　　《太阳报》援引一名消息人士的话报道，在他的父亲、王储查尔斯和首相鲍里斯·约翰逊相继感染新冠病毒后，38岁的威廉王子同样感染，“病得不轻”，一度“呼吸困难”，“身边所有人都很担心”。 　　报道说，威廉接受宫廷医生治疗，在位于诺福克郡的住所隔离。由于查尔斯和约翰逊先前相继感染，为避免引发公众恐慌，威廉决定不公开自己感染新冠的消息，而是“一切照旧”。他4月以电话或视频方式完成多项预定活动。 　　英国广播公司（BBC）同一天也报道了威廉曾感染新冠的消息。 　　英国王室3月25日宣布，查尔斯王储的新冠病毒检测结果呈阳性，症状较轻。同月27日，首相约翰逊宣布自己感染新冠病毒。4月初，约翰逊病情恶化，一度在医院重症监护室接受治疗。 　　欧洲眼下第二波新冠疫情严重，累计新冠确诊病例已经突破1000万例。英国政府10月31日发布的数据显示，国内新增新冠确诊病例21915例，累计确诊1011660例。"
"Js1iE5NMp"	"1619593991"	"https://weibo.com/1699432410/Js1iE5NMp"	"1699432410"	"2020-11-02 11:51:40"	"微博 weibo.com"	"38"	"17"	"7"	"[""http://wx2.sinaimg.cn/wap180/001R0E0aly1gkao89ux1wj61900u0e8202.jpg""]"	"【#世卫组织总干事因接触新冠感染者自我隔离#】世界卫生组织总干事谭德塞11月1日晚宣布自我隔离，原因是他接触了新冠病毒感染者，不过他目前自我感觉“良好”。 　　谭德塞在社交媒体上说，他被确定为“某名新冠病毒检测呈阳性的人”的接触者，“我感觉良好，没有任何症状，但今后数天将依据世卫组织建议自我隔离、在家工作”。 　　他强调，遵守防疫规定“至关重要”，这样做能够“打破新冠病毒传播链、遏制病毒（传播）、保护卫生系统”。 　　谭德塞10月26日呼吁全球各地领导人遵守卫生专家提出的建议，特别是在当前欧洲和北美地区“确诊病例和住院人数持续上升”这一“越发令人担忧”的情况下。 　　世卫组织网站11月1日发布的疫情数据显示，截至欧洲中部时间1日13时49分（北京时间20时49分），全球确诊病例较前一日增加473311例，达到45942902例；死亡病例增加6578例，达到1192644例。其中，欧洲累计确诊病例超过1000万例，美国累计病例超过910万例。"
"JrZRwE5aY"	"1619593991"	"https://weibo.com/1699432410/JrZRwE5aY"	"1699432410"	"2020-11-02 08:12:07"	"微博 weibo.com"	"13"	"13"	"4"	"[""http://wx2.sinaimg.cn/wap180/002M0gmrgy1gkai7qsdygj60ci0cidh802.jpg""]"	"#喀什疫情防控# 【11月1日新疆（含兵团）最新疫情通报】#疫情防控动态#  新疆维吾尔自治区卫生健康委最新通报，11月1日0时至24时，新疆维吾尔自治区（含新疆生产建设兵团）新增新冠肺炎确诊病例3例（其中2例为无症状感染者转确诊）；新增无症状感染者6例。新增的1例确诊病例和6例无症状感染者为疏附县对集中隔离医学观察人员进行核酸检测筛查发现。 截至11月1日24时，新疆（含兵团）现有确诊病例57例（重症9例）均为喀什疏附县病例；无症状感染者223例，均来自喀什疏附县和克州阿克陶县。转发理由:【#11月1日新疆新增新冠肺炎确诊病例3例# 新增无症状感染者6例】"
